rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,yellow_cards,red_cards,second_yellow,fouls,fouled,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_win_pct,shot_creating_actions_foul_drawn,passes_offsides,passes_crosses,own_goals_against,season,table_type,processed_at
24,Simon Adingra,CIV,FW,Sunderland,Premier League,0.0,2002.0,3.0,1,0,0,5,0,0,0,0,3,0,0,0,7,3,5,37.5,3,3,12,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
25,Amine Adli,MAR,"FW,MF",Bournemouth,Premier League,0.0,2000.0,1.7,0,0,0,4,0,0,0,2,3,0,0,0,14,3,3,50.0,6,0,7,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
26,Vasilije Adžić,MNE,MF,Juventus,Serie A,0.0,2006.0,1.2,0,0,0,1,0,0,0,2,0,0,0,0,10,1,3,25.0,1,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
27,Michel Aebischer,SUI,MF,Pisa,Serie A,0.0,1997.0,4.5,0,0,0,5,0,0,0,5,14,0,0,0,25,1,0,100.0,3,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
28,David Affengruber,AUT,DF,Elche,La Liga,0.0,2001.0,7.4,2,1,0,9,0,0,0,15,12,0,0,0,49,11,5,68.8,13,1,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
29,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,0.0,1998.0,0.5,1,0,0,2,0,0,0,0,0,0,0,0,2,1,3,25.0,1,0,4,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
30,Emmanuel Agbadou,CIV,DF,Wolves,Premier League,0.0,1997.0,5.8,0,0,0,4,0,0,0,5,8,0,0,0,29,15,7,68.2,2,0,8,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
31,Julen Agirrezabala,ESP,GK,Valencia,La Liga,0.0,2000.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,8,5,0,100.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
32,Lucien Agoume,FRA,MF,Sevilla,La Liga,0.0,2002.0,6.8,3,0,0,13,0,0,0,10,9,0,0,0,29,11,9,55.0,3,2,4,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
33,Felix Agu,NGA,DF,Werder Bremen,Bundesliga,0.0,1999.0,5.4,1,0,0,7,0,0,0,7,10,0,0,0,23,8,3,72.7,11,2,7,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
34,Marc Aguado,ESP,MF,Elche,La Liga,0.0,2000.0,4.4,0,0,0,3,0,0,0,10,5,0,0,0,16,1,1,50.0,8,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
35,Nayef Aguerd,MAR,DF,West Ham,Premier League,0.0,1996.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,8,4,3,57.1,1,0,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
36,Nayef Aguerd,MAR,DF,Marseille,Ligue 1,0.0,1996.0,4.0,1,0,0,5,0,0,0,5,4,0,0,0,17,13,4,76.5,1,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
37,Ruben Aguilar,FRA,DF,Lens,Ligue 1,0.0,1993.0,6.1,1,0,0,4,0,0,0,7,7,0,0,0,22,7,5,58.3,2,2,25,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
38,Honest Ahanor,ITA,DF,Atalanta,Serie A,0.0,2008.0,2.7,0,0,0,3,0,0,0,5,4,0,0,0,12,3,4,42.9,6,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
39,Lucas Ahijado,ESP,DF,Oviedo,La Liga,0.0,1995.0,4.1,1,0,0,3,0,0,0,4,15,0,0,0,13,4,1,80.0,2,2,4,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
40,Ola Aina,NGA,DF,Nott'ham Forest,Premier League,0.0,1996.0,3.0,1,0,0,5,0,0,0,5,3,0,0,0,20,4,2,66.7,3,0,13,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
41,Abdelhamid Ait Boudlal,MAR,DF,Rennes,Ligue 1,0.0,2006.0,0.8,0,1,0,1,0,0,0,2,1,0,0,0,3,0,1,0.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
42,Rayan Aït-Nouri,ALG,DF,Manchester City,Premier League,0.0,2001.0,2.2,1,0,0,4,0,0,0,5,6,0,0,0,8,3,2,60.0,1,0,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
43,Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,0.0,1998.0,4.4,0,0,0,4,0,0,0,1,3,0,0,0,9,3,4,42.9,5,0,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
44,Junior Ajayi,CIV,FW,Hellas Verona,Serie A,0.0,2004.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
45,Kristoffer Ajer,NOR,DF,Brentford,Premier League,0.0,1998.0,1.3,0,0,0,1,0,0,0,1,3,0,0,0,2,2,3,40.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
46,Ludovic Ajorque,FRA,FW,Brest,Ligue 1,0.0,1994.0,6.9,2,0,0,17,0,0,0,1,4,1,0,0,14,52,19,73.2,12,3,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
47,Manuel Akanji,SUI,DF,Inter,Serie A,0.0,1995.0,4.0,0,0,0,2,0,0,0,4,4,0,0,0,18,6,3,66.7,2,1,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
48,Nathan Aké,NED,DF,Manchester City,Premier League,0.0,1995.0,1.3,0,0,0,0,0,0,0,1,1,0,0,0,2,1,2,33.3,3,0,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
49,Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,0.0,2004.0,1.5,0,0,0,3,0,0,0,0,2,0,0,0,7,0,1,0.0,1,0,7,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
50,Ebenezer Akinsanmiro,NGA,MF,Pisa,Serie A,0.0,2004.0,4.3,0,0,0,7,0,0,0,3,8,0,0,0,33,3,4,42.9,6,0,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
51,Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,0.0,2002.0,6.0,1,0,0,5,0,0,0,4,7,0,0,0,36,0,4,0.0,4,4,18,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
52,Clément Akpa,CIV,DF,Auxerre,Ligue 1,0.0,2001.0,5.0,0,0,0,1,0,0,0,5,4,0,0,0,12,9,5,64.3,11,1,6,1,2025-2026,stats_misc,2025-10-18 04:36:53.902157
53,Jean-Daniel Akpa-Akpro,CIV,MF,Hellas Verona,Serie A,0.0,1992.0,2.2,2,0,0,11,0,0,0,6,1,0,0,0,14,4,4,50.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
54,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,0.0,1995.0,0.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
55,David Alaba,AUT,DF,Real Madrid,La Liga,0.0,1992.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
56,Carlos Alcaraz,ARG,"MF,FW",Everton,Premier League,0.0,2002.0,1.8,1,0,0,1,0,0,0,0,3,0,0,0,12,2,2,50.0,2,0,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
57,Omar Alderete,PAR,DF,Sunderland,Premier League,0.0,1996.0,6.4,1,0,0,5,0,0,0,10,4,0,0,0,23,15,12,55.6,2,0,4,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
58,Alexandre Alemão,BRA,FW,Rayo Vallecano,La Liga,0.0,1998.0,3.1,0,0,0,3,0,0,0,0,0,0,0,0,5,6,10,37.5,9,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
59,Carles Aleñá,ESP,"MF,FW",Alavés,La Liga,0.0,1998.0,5.7,0,0,0,9,0,0,0,2,6,0,0,0,29,4,7,36.4,6,0,28,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
60,Trent Alexander-Arnold,ENG,DF,Real Madrid,La Liga,0.0,1998.0,1.7,0,0,0,1,0,0,0,3,1,0,0,0,5,2,1,66.7,0,0,10,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
61,Alfon,ESP,"FW,DF",Sevilla,La Liga,0.0,1999.0,1.8,0,0,0,2,0,0,0,1,0,0,0,0,8,1,2,33.3,2,0,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
62,Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,0.0,2004.0,1.7,0,0,0,1,0,0,0,0,0,0,0,0,9,2,11,15.4,5,0,6,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
63,Alisson,BRA,GK,Liverpool,Premier League,0.0,1992.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,100.0,3,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
64,Jim Allevinah,GAB,"FW,DF",Angers,Ligue 1,0.0,1995.0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0,2,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
65,Thiago Almada,ARG,"MF,FW",Atlético Madrid,La Liga,0.0,2001.0,2.3,0,0,0,1,0,0,0,1,2,0,0,0,18,1,3,25.0,4,0,8,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
66,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,0.0,2000.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0.0,3,0,5,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
67,Pontus Almqvist,SWE,"DF,MF",Parma,Serie A,0.0,1999.0,3.2,0,0,0,4,0,0,0,2,5,0,0,0,13,5,4,55.6,8,0,3,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
68,Marcos Alonso,ESP,DF,Celta Vigo,La Liga,0.0,1990.0,4.3,1,0,0,3,0,0,0,5,4,0,0,0,17,7,7,50.0,5,0,6,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
69,Adrià Altimira,ESP,DF,Villarreal,La Liga,0.0,2001.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
70,Sergi Altimira,ESP,MF,Betis,La Liga,0.0,2001.0,5.0,1,0,0,4,0,0,0,11,11,0,0,0,29,6,5,54.5,6,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
71,Carlos Álvarez,ESP,MF,Levante,La Liga,0.0,2003.0,5.4,1,0,0,7,0,0,0,2,4,0,0,0,27,1,3,25.0,9,0,7,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
72,Hugo Álvarez,ESP,"FW,DF",Celta Vigo,La Liga,0.0,2003.0,3.4,0,0,0,4,0,0,0,3,5,0,0,0,12,1,1,50.0,2,0,4,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
73,Julián Álvarez,ARG,FW,Atlético Madrid,La Liga,0.0,2000.0,6.9,1,0,0,3,0,0,0,2,1,0,0,0,17,1,7,12.5,4,0,29,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
74,Skelly Alvero,FRA,DF,Werder Bremen,Bundesliga,0.0,2002.0,0.4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0.0,1,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
75,Giuseppe Ambrosino,ITA,FW,Napoli,Serie A,0.0,2003.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
76,Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,0.0,2003.0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,1,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
77,Kelvin Amian,FRA,DF,Nantes,Ligue 1,0.0,1998.0,7.0,2,0,0,6,0,0,0,3,6,0,1,0,27,10,2,83.3,8,1,6,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
78,Michael Amir Murillo,PAN,"DF,MF",Marseille,Ligue 1,0.0,1996.0,5.1,3,0,0,12,0,0,0,0,6,1,0,0,22,6,4,60.0,6,1,11,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
79,Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,0.0,1996.0,5.5,2,0,0,10,0,0,0,6,4,0,0,0,20,5,4,55.6,6,0,26,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
80,Samuel Amo-Ameyaw,ENG,"DF,FW",Strasbourg,Ligue 1,0.0,2006.0,2.3,1,0,0,4,0,0,0,1,2,0,0,0,8,0,1,0.0,5,1,14,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
81,Mathis Amougou,FRA,MF,Strasbourg,Ligue 1,0.0,2006.0,1.5,0,0,0,0,0,0,0,1,3,0,0,0,7,0,0,0.0,3,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
82,Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,0.0,2000.0,4.3,0,0,0,4,0,0,0,3,7,1,0,0,16,5,7,41.7,3,2,9,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
83,Ethan Ampadu,WAL,MF,Leeds United,Premier League,0.0,2000.0,4.9,2,0,0,7,0,0,0,6,5,0,0,0,24,5,5,50.0,4,0,5,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
84,Sofyan Amrabat,MAR,MF,Betis,La Liga,0.0,1996.0,2.2,1,0,0,4,0,0,0,1,1,0,0,0,18,3,4,42.9,5,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
85,Joachim Andersen,DEN,DF,Fulham,Premier League,0.0,1996.0,7.0,0,0,0,7,0,0,0,8,11,0,0,0,25,10,7,58.8,5,0,3,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
86,Elliot Anderson,ENG,MF,Nott'ham Forest,Premier League,0.0,2002.0,7.0,2,0,0,8,0,0,0,5,12,0,1,0,55,10,8,55.6,15,1,31,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
87,André,BRA,MF,Wolves,Premier League,0.0,2001.0,4.9,2,0,0,7,0,0,0,5,6,0,0,0,39,1,4,20.0,10,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
88,Benjamin André,FRA,MF,Lille,Ligue 1,0.0,1990.0,5.0,2,0,0,10,0,0,0,7,5,0,0,0,26,12,8,60.0,3,0,5,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
89,Robert Andrich,GER,MF,Leverkusen,Bundesliga,0.0,1994.0,3.4,2,1,1,8,0,0,0,5,6,0,0,0,12,4,2,66.7,4,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
