rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,shot_creating_actions,shot_creating_actions_per_90,shot_creating_actions_live_pass,shot_creating_actions_dead_pass,shot_creating_actions_take_on,shot_creating_actions_shot,shot_creating_actions_foul_drawn,goal_creating_actions,goal_creating_actions_per_90,goal_creating_actions_def,season,table_type,processed_at
514,Leander Dendoncker,BEL,MF,Oviedo,La Liga,0.0,1995.0,6.9,9,1.31,7,1,0,0,0,0,0.0,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
515,Daniel Denoon,SUI,DF,Pisa,Serie A,0.0,2004.0,0.9,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
516,Nelson Deossa,COL,MF,Betis,La Liga,0.0,2000.0,0.7,4,5.71,2,0,1,1,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
517,Rémy Descamps,FRA,GK,Lyon,Ligue 1,0.0,1996.0,4.0,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
518,Bahmed Deuff,MTN,MF,Nantes,Ligue 1,0.0,2006.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
519,Justin Devenny,NIR,"MF,FW",Crystal Palace,Premier League,0.0,2003.0,1.7,8,4.83,8,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
520,Kiernan Dewsbury-Hall,ENG,MF,Everton,Premier League,0.0,1998.0,6.0,26,4.33,15,7,2,0,2,3,0.5,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
521,Michele Di Gregorio,ITA,GK,Juventus,Serie A,0.0,1997.0,6.0,1,0.17,0,1,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
522,Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,0.0,1993.0,6.0,14,2.33,12,0,0,1,1,2,0.33,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
523,Alessandro Di Pardo,ITA,DF,Cagliari,Serie A,0.0,1999.0,0.6,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
524,Boulaye Dia,SEN,"MF,FW",Lazio,Serie A,0.0,1996.0,3.2,4,1.24,1,0,0,1,1,2,0.62,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
525,Bambo Diaby,SEN,DF,Elche,La Liga,0.0,1997.0,0.5,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
526,Mouctar Diakhaby,GUI,DF,Valencia,La Liga,0.0,1996.0,5.0,6,1.19,5,0,0,0,1,2,0.4,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
527,Bafodé Diakité,FRA,DF,Bournemouth,Premier League,0.0,2001.0,6.0,4,0.67,4,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
528,Amad Diallo,CIV,"DF,MF",Manchester Utd,Premier League,0.0,2002.0,5.0,25,5.03,16,0,2,3,3,4,0.81,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
529,Habib Diallo,SEN,FW,Metz,Ligue 1,0.0,1995.0,3.9,6,1.55,3,0,1,1,1,1,0.26,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
530,Grady Diangana,COD,"MF,FW",Elche,La Liga,0.0,1998.0,1.6,1,0.63,1,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
531,Habib Diarra,SEN,MF,Sunderland,Premier League,0.0,2004.0,3.8,6,1.57,3,0,1,1,1,1,0.26,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
532,Moussa Diarra,MLI,DF,Alavés,La Liga,0.0,2000.0,2.4,2,0.83,2,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
533,Rúben Dias,POR,DF,Manchester City,Premier League,0.0,1997.0,6.1,1,0.16,1,0,0,0,0,1,0.16,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
534,Krépin Diatta,SEN,DF,Monaco,Ligue 1,0.0,1999.0,2.1,9,4.2,9,0,0,0,0,1,0.47,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
535,Mory Diaw,SEN,GK,Le Havre,Ligue 1,0.0,1993.0,7.0,3,0.43,3,0,0,0,0,2,0.29,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
536,Brahim Díaz,MAR,FW,Real Madrid,La Liga,0.0,1999.0,2.2,8,3.69,8,0,0,0,0,3,1.38,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
537,Junior Diaz,CIV,DF,Brest,Ligue 1,0.0,2003.0,5.2,2,0.38,1,0,0,1,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
538,Luis Díaz,COL,FW,Bayern Munich,Bundesliga,0.0,1997.0,5.7,25,4.36,19,0,3,2,1,7,1.22,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
539,Pedro Díaz,ESP,"MF,FW",Rayo Vallecano,La Liga,0.0,1998.0,5.4,12,2.22,9,1,0,2,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
540,Tyler Dibling,ENG,FW,Everton,Premier League,0.0,2006.0,0.7,1,1.5,0,0,0,0,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
541,Nouha Dicko,MLI,FW,Paris FC,Ligue 1,0.0,1992.0,0.5,2,4.39,1,0,0,1,0,1,2.2,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
542,Bamba Dieng,SEN,FW,Lorient,Ligue 1,0.0,2000.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
543,Eric Dier,ENG,DF,Monaco,Ligue 1,0.0,1994.0,6.0,8,1.33,7,0,0,0,0,1,0.17,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
544,Lucas Digne,FRA,DF,Aston Villa,Premier League,0.0,1993.0,5.4,14,2.58,10,3,0,1,0,2,0.37,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
545,Kevin Diks,IDN,DF,Gladbach,Bundesliga,0.0,1996.0,5.2,9,1.75,8,0,1,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
546,Federico Dimarco,ITA,DF,Inter,Serie A,0.0,1997.0,4.4,31,6.99,21,8,0,1,0,4,0.9,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
547,Junior Dina Ebimbe,FRA,"FW,MF",Brest,Ligue 1,0.0,2000.0,1.4,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
548,Eren Dinkçi,GER,"FW,MF",Freiburg,Bundesliga,0.0,2001.0,2.3,5,2.13,4,0,0,0,0,0,0.0,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
549,Yan Diomandé,CIV,FW,RB Leipzig,Bundesliga,0.0,2006.0,3.2,12,3.79,10,0,2,0,0,1,0.32,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
550,Issa Diop,FRA,DF,Fulham,Premier League,0.0,1997.0,0.9,1,1.06,1,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
551,Sérigné Diop,SEN,FW,Brest,Ligue 1,0.0,2005.0,0.1,1,7.5,0,1,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
552,Sofiane Diop,FRA,"MF,FW",Nice,Ligue 1,0.0,2000.0,4.3,18,4.2,16,0,1,1,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
553,Andy Diouf,FRA,MF,Inter,Serie A,0.0,2003.0,0.3,1,3.21,1,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
554,Andy Diouf,FRA,MF,Lens,Ligue 1,0.0,2003.0,1.0,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
555,El Hadji Malick Diouf,SEN,DF,West Ham,Premier League,0.0,2004.0,7.0,11,1.57,8,2,1,0,0,3,0.43,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
556,Yehvann Diouf,SEN,GK,Nice,Ligue 1,0.0,1999.0,7.0,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
557,Assane Dioussé,SEN,MF,Auxerre,Ligue 1,0.0,1997.0,0.1,1,9.0,1,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
558,Matías Dituro,ARG,GK,Elche,La Liga,0.0,1987.0,5.0,3,0.6,1,2,0,0,0,2,0.4,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
559,Djené,TOG,DF,Getafe,La Liga,0.0,1991.0,5.9,3,0.51,3,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
560,Berat Djimsiti,ALB,DF,Atalanta,Serie A,0.0,1993.0,5.0,5,1.0,4,0,1,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
561,Marko Dmitrović,SRB,GK,Espanyol,La Liga,0.0,1992.0,8.0,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
562,Ritsu Doan,JPN,"FW,MF",Eint Frankfurt,Bundesliga,0.0,1998.0,5.5,21,3.79,10,5,0,2,3,5,0.9,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
563,Dodô,BRA,DF,Fiorentina,Serie A,0.0,1998.0,5.9,19,3.23,15,0,2,0,2,1,0.17,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
564,Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,0.0,1998.0,6.0,7,1.17,4,0,0,2,0,1,0.17,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
565,Matt Doherty,IRL,DF,Wolves,Premier League,0.0,1992.0,2.5,2,0.8,2,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
566,Josh Doig,SCO,DF,Sassuolo,Serie A,0.0,2002.0,5.4,6,1.11,5,1,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
567,Jeremy Doku,BEL,"MF,FW",Manchester City,Premier League,0.0,2002.0,4.3,26,6.03,18,0,7,1,0,3,0.7,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
568,Tyrhys Dolan,ENG,"FW,MF",Espanyol,La Liga,0.0,2001.0,6.3,25,3.98,16,1,2,2,4,3,0.48,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
569,Marc Domenech,ESP,"FW,MF",Mallorca,La Liga,0.0,2006.0,2.3,4,1.75,2,0,0,0,2,1,0.44,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
570,Benjamín Domínguez,ARG,"FW,MF",Bologna,Serie A,0.0,2003.0,0.8,3,3.65,3,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
571,Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,0.0,2001.0,4.0,4,1.0,3,0,0,0,0,1,0.25,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
572,Nicolás Domínguez,ARG,MF,Nott'ham Forest,Premier League,0.0,1998.0,0.5,1,2.0,1,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
573,Jean-Luc Dompé,FRA,FW,Hamburger SV,Bundesliga,0.0,1995.0,3.1,18,5.74,12,1,2,3,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
574,John Donald,ESP,"MF,DF",Elche,La Liga,0.0,2000.0,1.8,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
575,Gianluigi Donnarumma,ITA,GK,Manchester City,Premier League,0.0,1999.0,4.0,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
576,Patrick Dorgu,DEN,DF,Manchester Utd,Premier League,0.0,2004.0,5.2,13,2.48,12,0,1,0,0,1,0.19,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
577,Niklas Dorsch,GER,MF,Heidenheim,Bundesliga,0.0,1998.0,4.1,6,1.46,5,1,0,0,0,1,0.24,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
578,Lohann Doucet,FRA,MF,Paris FC,Ligue 1,0.0,2002.0,0.9,4,4.39,4,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
579,Fodé Doucouré,MLI,"MF,FW",Le Havre,Ligue 1,0.0,2001.0,4.0,18,4.46,15,0,0,3,0,1,0.25,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
580,Désiré Doué,FRA,"FW,MF",Paris S-G,Ligue 1,0.0,2005.0,1.9,11,5.89,8,0,0,0,3,1,0.54,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
581,Guela Doué,CIV,DF,Strasbourg,Ligue 1,0.0,2002.0,2.3,2,0.89,2,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
582,Ismaël Doukouré,FRA,"DF,MF",Strasbourg,Ligue 1,0.0,2003.0,5.5,6,1.09,3,0,0,1,1,2,0.36,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
583,Kamory Doumbia,MLI,MF,Brest,Ligue 1,0.0,2003.0,6.2,21,3.38,15,2,0,2,2,2,0.32,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
584,Anastasios Douvikas,GRE,FW,Como,Serie A,0.0,1999.0,3.2,7,2.16,6,0,0,0,0,2,0.62,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
585,Artem Dovbyk,UKR,FW,Roma,Serie A,0.0,1997.0,2.0,5,2.54,5,0,0,0,0,1,0.51,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
586,Max Dowman,ENG,FW,Arsenal,Premier League,0.0,2009.0,0.3,2,6.21,0,0,0,0,2,1,3.1,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
587,Domingos Duarte,POR,DF,Getafe,La Liga,0.0,1995.0,5.5,2,0.36,2,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
588,Martin Dúbravka,SVK,GK,Burnley,Premier League,0.0,1989.0,7.0,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
589,Denzel Dumfries,NED,DF,Inter,Serie A,0.0,1996.0,4.3,9,2.08,5,2,0,1,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
590,Lewis Dunk,ENG,DF,Brighton,Premier League,0.0,1991.0,7.0,2,0.29,1,0,0,1,0,1,0.14,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
591,Pablo Durán,ESP,"FW,MF",Celta Vigo,La Liga,0.0,2001.0,3.6,4,1.1,3,0,0,1,0,1,0.28,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
592,Hugo Duro,ESP,FW,Valencia,La Liga,0.0,1999.0,4.8,7,1.47,4,0,0,3,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
593,Paulo Dybala,ARG,"FW,MF",Roma,Serie A,0.0,1993.0,1.5,10,6.47,3,3,0,3,1,1,0.65,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
594,Edin Džeko,BIH,FW,Fiorentina,Serie A,0.0,1986.0,1.0,2,1.94,0,0,0,1,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
595,Adam Dźwigała,POL,DF,St. Pauli,Bundesliga,0.0,1995.0,3.7,1,0.27,1,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
596,Aron Dønnum,NOR,"MF,FW",Toulouse,Ligue 1,0.0,1998.0,7.0,28,4.0,14,6,4,2,2,2,0.29,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
597,Simon Ebonog,CMR,MF,Le Havre,Ligue 1,0.0,2004.0,2.5,4,1.63,1,0,1,1,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
598,Enzo Ebosse,CMR,DF,Hellas Verona,Serie A,0.0,1999.0,0.6,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
599,Claudio Echeverri,ARG,"MF,FW",Leverkusen,Bundesliga,0.0,2006.0,0.6,2,3.46,1,1,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
600,Éderson,BRA,MF,Atalanta,Serie A,0.0,1999.0,1.0,2,1.94,2,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
601,Noah Edjouma,FRA,"FW,MF",Toulouse,Ligue 1,0.0,2005.0,1.9,9,4.63,7,0,0,0,0,1,0.51,2,2025-2026,stats_gca,2025-10-18 04:36:53.715978
602,Odsonne Édouard,FRA,FW,Crystal Palace,Premier League,0.0,1998.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
603,Odsonne Édouard,FRA,FW,Lens,Ligue 1,0.0,1998.0,2.1,3,1.44,2,0,0,0,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
604,Marcus Edwards,ENG,FW,Burnley,Premier League,0.0,1998.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
605,CJ Egan-Riley,ENG,DF,Marseille,Ligue 1,0.0,2003.0,2.3,4,1.73,4,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
606,Maximilian Eggestein,GER,MF,Freiburg,Bundesliga,0.0,1996.0,6.0,10,1.67,8,1,0,1,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
607,Kingsley Ehizibue,NED,DF,Udinese,Serie A,0.0,1995.0,4.1,3,0.74,3,0,0,0,0,1,0.25,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
608,Ovie Ejaria,ENG,MF,Oviedo,La Liga,0.0,1997.0,1.1,1,0.94,1,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
609,Chidera Ejuke,NGA,"FW,MF",Sevilla,La Liga,0.0,1998.0,2.0,6,2.95,5,0,1,0,0,1,0.49,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
610,Hjalmar Ekdal,SWE,DF,Burnley,Premier League,0.0,1998.0,5.9,2,0.34,2,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
611,Jeff Ekhator,ITA,"FW,DF",Genoa,Serie A,0.0,2006.0,1.6,4,2.48,3,0,0,0,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
612,Hugo Ekitike,FRA,FW,Liverpool,Premier League,0.0,2002.0,4.2,12,2.83,7,0,3,2,0,2,0.47,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
613,Jurgen Ekkelenkamp,NED,"MF,DF",Udinese,Serie A,0.0,2000.0,1.1,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
614,Jacques Ekomie,GAB,DF,Angers,Ligue 1,0.0,2003.0,5.1,10,1.96,8,0,0,1,0,0,0.0,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
615,Caleb Ekuban,GHA,"FW,MF",Genoa,Serie A,0.0,1994.0,1.4,7,5.12,4,1,0,2,0,1,0.73,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
616,Anthony Elanga,SWE,"FW,MF",Newcastle Utd,Premier League,0.0,2002.0,3.7,6,1.64,6,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
617,Daniel Elfadli,LBY,DF,Hamburger SV,Bundesliga,0.0,1997.0,5.3,5,0.94,3,0,0,0,0,1,0.19,2,2025-2026,stats_gca,2025-10-18 04:36:53.715978
618,Unai Elgezabal,ESP,DF,Levante,La Liga,0.0,1993.0,6.0,3,0.5,3,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
619,Mikael Ellertsson,ISL,"FW,DF",Genoa,Serie A,0.0,2002.0,4.8,6,1.24,4,0,0,2,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
620,Harvey Elliott,ENG,"MF,FW",Liverpool,Premier League,0.0,2003.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
621,Harvey Elliott,ENG,"MF,FW",Aston Villa,Premier League,0.0,2003.0,1.1,4,3.67,4,0,0,0,0,1,0.92,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
622,Elif Elmas,MKD,MF,Napoli,Serie A,0.0,1999.0,1.1,2,1.86,1,0,1,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
623,Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,0.0,1994.0,1.1,1,0.95,1,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
624,Nico Elvedi,SUI,DF,Gladbach,Bundesliga,0.0,1996.0,6.0,2,0.33,2,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
625,Breel Embolo,SUI,FW,Rennes,Ligue 1,0.0,1997.0,3.1,5,1.6,4,0,0,0,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
626,Emanuel Emegha,NED,FW,Strasbourg,Ligue 1,0.0,2003.0,2.5,3,1.19,1,0,0,2,0,2,0.79,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
627,Emersonn,BRA,FW,Toulouse,Ligue 1,0.0,2004.0,1.1,2,1.8,1,0,1,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
628,Julio Enciso,PAR,MF,Strasbourg,Ligue 1,0.0,2004.0,0.2,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
629,Wataru Endo,JPN,"MF,DF",Liverpool,Premier League,0.0,1993.0,0.4,2,4.62,2,0,0,0,0,1,2.31,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
630,Yannik Engelhardt,GER,MF,Gladbach,Bundesliga,0.0,2001.0,3.3,4,1.2,2,1,0,1,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
631,Christian Eriksen,DEN,MF,Wolfsburg,Bundesliga,0.0,1992.0,1.1,3,2.78,3,0,0,0,0,1,0.93,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
632,Aarón Escandell,ESP,GK,Oviedo,La Liga,0.0,1995.0,8.0,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
633,Carlos Espí,ESP,FW,Levante,La Liga,0.0,2005.0,0.3,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
634,Alfonso Espino,URU,"DF,FW",Rayo Vallecano,La Liga,0.0,1992.0,1.2,3,2.57,1,1,0,0,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
635,Francesco Esposito,ITA,FW,Inter,Serie A,0.0,2005.0,1.7,6,3.44,5,0,0,0,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
636,Sebastiano Esposito,ITA,"FW,MF",Cagliari,Serie A,0.0,2002.0,4.8,22,4.62,15,4,1,1,0,0,0.0,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
637,Romain Esse,ENG,FW,Crystal Palace,Premier League,0.0,2005.0,0.3,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
638,Samuel Essende,COD,FW,Augsburg,Bundesliga,0.0,1998.0,1.6,2,1.22,1,0,0,1,0,1,0.61,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
639,Marco Esteban,ESP,DF,Oviedo,La Liga,0.0,2006.0,0.5,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
640,Maxime Estève,FRA,DF,Burnley,Premier League,0.0,2002.0,6.9,4,0.58,2,0,0,1,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
641,Nahuel Estévez,ARG,MF,Parma,Serie A,0.0,1995.0,0.4,3,8.44,2,1,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
642,Pervis Estupiñán,ECU,DF,Milan,Serie A,0.0,1998.0,4.1,10,2.43,8,1,1,0,0,1,0.24,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
643,Karl Etta Eyong,CMR,FW,Villarreal,La Liga,0.0,2003.0,2.8,6,2.11,5,0,0,0,1,2,0.7,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
644,Karl Etta Eyong,CMR,FW,Levante,La Liga,0.0,2003.0,4.2,8,1.89,4,0,1,2,1,3,0.71,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
645,Evanilson,BRA,FW,Bournemouth,Premier League,0.0,1999.0,6.8,16,2.34,13,0,0,1,2,1,0.15,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
646,Edu Expósito,ESP,MF,Espanyol,La Liga,0.0,1996.0,5.5,31,5.64,17,13,1,0,0,5,0.91,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
647,Eberechi Eze,ENG,"MF,FW",Arsenal,Premier League,0.0,1998.0,3.5,13,3.75,9,0,1,3,0,3,0.87,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
648,Eberechi Eze,ENG,MF,Crystal Palace,Premier League,0.0,1998.0,0.9,3,3.25,1,0,0,2,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
649,Abde Ezzalzouli,MAR,FW,Betis,La Liga,0.0,2001.0,2.8,12,4.25,9,0,3,0,0,1,0.35,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
650,Giovanni Fabbian,ITA,MF,Bologna,Serie A,0.0,2003.0,2.8,7,2.54,4,0,1,1,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
651,Alieu Fadera,GAM,"FW,MF",Sassuolo,Serie A,0.0,2001.0,1.7,7,4.06,4,0,1,0,2,2,1.16,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
652,Nicolò Fagioli,ITA,MF,Fiorentina,Serie A,0.0,2001.0,2.5,5,1.97,3,1,0,0,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
653,Omar Falah,ESP,"DF,MF",Oviedo,La Liga,0.0,2003.0,0.2,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
654,Wladimiro Falcone,ITA,GK,Lecce,Serie A,0.0,1995.0,6.0,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
655,Ansu Fati,ESP,"MF,FW",Monaco,Ligue 1,0.0,2002.0,1.8,9,5.03,9,0,0,0,0,1,0.56,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
656,Abdoulaye Faye,SEN,DF,Lorient,Ligue 1,0.0,2004.0,5.4,4,0.75,3,0,0,1,0,1,0.19,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
657,Jacopo Fazzini,ITA,MF,Fiorentina,Serie A,0.0,2003.0,3.0,10,3.38,8,1,1,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
