rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,tackles,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third,tackle_attempts,tackle_pct,tackles_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_plus_interceptions,clearances,errors,touches_def_third,touches_mid_third,touches_att_third,passes_attempted,aerials_lost,passes_blocks,shot_creating_actions_shot,season,table_type,processed_at
12,Francis Abu,GHA,MF,Toulouse,Ligue 1,0.0,2001.0,2.7,13,9,0,0,0,0,80.0,0,0,0,5,4,17,5,0,5,7,1,10,2,8,3,2025-2026,stats_defense,2025-10-18 04:36:53.576323
13,Giorgi Abuashvili,GEO,FW,Metz,Ligue 1,0.0,2003.0,1.7,5,2,0,0,0,0,33.3,0,0,0,3,0,5,1,0,3,2,0,3,2,4,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
14,Francesco Acerbi,ITA,DF,Inter,Serie A,0.0,1988.0,3.9,4,4,0,0,0,0,0.0,0,0,0,0,6,10,28,0,3,1,0,0,0,6,6,2025-2026,stats_defense,2025-10-18 04:36:53.576323
15,Ragnar Ache,GER,"FW,DF",Köln,Bundesliga,0.0,1998.0,2.1,2,1,0,0,0,0,0.0,0,0,0,1,0,2,7,0,0,1,1,1,1,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
16,Joshua Acheampong,ENG,DF,Chelsea,Premier League,0.0,2006.0,2.2,2,2,0,0,0,0,50.0,0,0,0,2,3,5,7,3,1,1,0,2,1,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
17,Akor Adams,NGA,FW,Sevilla,La Liga,0.0,2000.0,3.8,2,1,0,0,0,0,50.0,0,0,0,3,0,2,6,0,1,0,1,2,1,3,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
18,Che Adams,SCO,"FW,MF",Torino,Serie A,0.0,1996.0,1.8,3,3,0,0,0,0,50.0,0,0,0,0,0,3,1,0,2,0,1,2,1,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
19,Tyler Adams,USA,MF,Bournemouth,Premier League,0.0,1999.0,6.7,18,10,0,0,0,0,55.0,0,0,0,7,15,33,11,0,9,8,1,20,9,10,3,2025-2026,stats_defense,2025-10-18 04:36:53.576323
20,Junior Adamu,AUT,FW,Freiburg,Bundesliga,0.0,2001.0,2.6,7,4,0,0,0,0,100.0,0,0,0,0,4,11,4,0,6,1,0,1,0,1,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
21,Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,0.0,1997.0,3.9,5,2,0,0,0,0,50.0,0,0,0,1,5,10,25,0,3,2,0,2,1,3,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
22,Jayden Addai,NED,FW,Como,Serie A,0.0,2005.0,2.0,1,1,0,0,0,0,0.0,0,0,0,1,1,2,0,0,0,1,0,2,2,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
23,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,0.0,2002.0,3.6,1,0,0,0,0,0,0.0,0,0,0,1,4,5,1,0,1,0,0,2,2,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
24,Simon Adingra,CIV,FW,Sunderland,Premier League,0.0,2002.0,3.0,4,3,0,0,0,0,66.7,0,0,0,1,0,4,5,0,1,2,1,3,1,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
25,Amine Adli,MAR,"FW,MF",Bournemouth,Premier League,0.0,2000.0,1.7,10,3,0,0,0,0,75.0,0,0,0,4,2,12,4,0,4,3,3,8,2,5,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
26,Vasilije Adžić,MNE,MF,Juventus,Serie A,0.0,2006.0,1.2,1,0,0,0,0,0,0.0,0,0,0,0,2,3,3,2,1,0,0,1,1,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
27,Michel Aebischer,SUI,MF,Pisa,Serie A,0.0,1997.0,4.5,17,14,0,0,0,0,52.9,0,0,0,3,5,22,3,2,2,14,1,17,8,4,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
28,David Affengruber,AUT,DF,Elche,La Liga,0.0,2001.0,7.4,19,12,0,0,0,0,93.3,0,0,0,3,15,34,48,1,13,6,0,15,1,5,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
29,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,0.0,1998.0,0.5,1,0,0,0,0,0,0.0,0,0,0,1,0,1,1,0,0,0,1,0,0,2,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
30,Emmanuel Agbadou,CIV,DF,Wolves,Premier League,0.0,1997.0,5.8,14,8,0,0,0,0,69.2,0,0,0,1,5,19,34,2,7,6,1,13,4,11,10,2025-2026,stats_defense,2025-10-18 04:36:53.576323
31,Julen Agirrezabala,ESP,GK,Valencia,La Liga,0.0,2000.0,8.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
32,Lucien Agoume,FRA,MF,Sevilla,La Liga,0.0,2002.0,6.8,14,9,0,0,0,0,77.8,0,0,0,6,10,24,13,1,4,8,2,9,2,7,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
33,Felix Agu,NGA,DF,Werder Bremen,Bundesliga,0.0,1999.0,5.4,14,10,0,0,0,0,58.3,0,0,0,5,7,21,18,1,10,3,1,12,5,9,4,2025-2026,stats_defense,2025-10-18 04:36:53.576323
34,Marc Aguado,ESP,MF,Elche,La Liga,0.0,2000.0,4.4,8,5,0,0,0,0,83.3,0,0,0,2,10,18,8,0,5,3,0,6,1,5,3,2025-2026,stats_defense,2025-10-18 04:36:53.576323
35,Nayef Aguerd,MAR,DF,West Ham,Premier League,0.0,1996.0,2.0,1,0,0,0,0,0,0.0,0,0,0,2,1,2,11,0,1,0,0,0,0,4,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
36,Nayef Aguerd,MAR,DF,Marseille,Ligue 1,0.0,1996.0,4.0,4,4,0,0,0,0,100.0,0,0,0,3,5,9,12,0,2,2,0,3,0,4,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
37,Ruben Aguilar,FRA,DF,Lens,Ligue 1,0.0,1993.0,6.1,12,7,0,0,0,0,70.0,0,0,0,9,7,19,8,0,5,4,3,10,3,14,5,2025-2026,stats_defense,2025-10-18 04:36:53.576323
38,Honest Ahanor,ITA,DF,Atalanta,Serie A,0.0,2008.0,2.7,9,4,0,0,0,0,75.0,0,0,0,5,5,14,12,0,5,2,2,8,2,9,4,2025-2026,stats_defense,2025-10-18 04:36:53.576323
39,Lucas Ahijado,ESP,DF,Oviedo,La Liga,0.0,1995.0,4.1,20,15,0,0,0,0,72.7,0,0,0,0,4,24,12,0,17,3,0,11,3,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
40,Ola Aina,NGA,DF,Nott'ham Forest,Premier League,0.0,1996.0,3.0,6,3,0,0,0,0,100.0,0,0,0,1,5,11,14,0,2,2,2,4,0,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
41,Abdelhamid Ait Boudlal,MAR,DF,Rennes,Ligue 1,0.0,2006.0,0.8,1,1,0,0,0,0,100.0,0,0,0,0,2,3,2,0,0,1,0,1,0,1,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
42,Rayan Aït-Nouri,ALG,DF,Manchester City,Premier League,0.0,2001.0,2.2,9,6,0,0,0,0,42.9,0,0,0,4,5,14,9,0,7,2,0,7,4,4,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
43,Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,0.0,1998.0,4.4,3,3,0,0,0,0,75.0,0,0,0,2,1,4,0,0,2,1,0,4,1,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
44,Junior Ajayi,CIV,FW,Hellas Verona,Serie A,0.0,2004.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
45,Kristoffer Ajer,NOR,DF,Brentford,Premier League,0.0,1998.0,1.3,4,3,0,0,0,0,100.0,0,0,0,0,1,5,4,0,0,3,1,3,0,1,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
46,Ludovic Ajorque,FRA,FW,Brest,Ligue 1,0.0,1994.0,6.9,6,4,0,0,0,0,20.0,0,0,0,1,1,7,11,0,2,4,0,5,4,2,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
47,Manuel Akanji,SUI,DF,Inter,Serie A,0.0,1995.0,4.0,6,4,0,0,0,0,33.3,0,0,0,1,4,10,15,0,2,2,2,3,2,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
48,Nathan Aké,NED,DF,Manchester City,Premier League,0.0,1995.0,1.3,1,1,0,0,0,0,100.0,0,0,0,1,1,2,5,0,1,0,0,1,0,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
49,Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,0.0,2004.0,1.5,5,2,0,0,0,0,100.0,0,0,0,3,0,5,1,0,1,4,0,1,0,5,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
50,Ebenezer Akinsanmiro,NGA,MF,Pisa,Serie A,0.0,2004.0,4.3,11,8,0,0,0,0,25.0,0,0,0,2,3,14,3,0,5,5,1,4,3,3,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
51,Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,0.0,2002.0,6.0,10,7,0,0,0,0,18.2,0,0,0,5,4,14,6,0,1,4,5,11,9,5,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
52,Clément Akpa,CIV,DF,Auxerre,Ligue 1,0.0,2001.0,5.0,10,4,0,0,0,0,55.6,0,0,0,4,5,15,22,1,7,1,2,9,4,7,3,2025-2026,stats_defense,2025-10-18 04:36:53.576323
53,Jean-Daniel Akpa-Akpro,CIV,MF,Hellas Verona,Serie A,0.0,1992.0,2.2,2,1,0,0,0,0,33.3,0,0,0,4,6,8,6,0,1,1,0,3,2,5,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
54,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,0.0,1995.0,0.3,1,0,0,0,0,0,100.0,0,0,0,0,1,2,3,0,1,0,0,1,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
55,David Alaba,AUT,DF,Real Madrid,La Liga,0.0,1992.0,0.1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
56,Carlos Alcaraz,ARG,"MF,FW",Everton,Premier League,0.0,2002.0,1.8,6,3,0,0,0,0,62.5,0,0,0,2,0,6,0,1,1,3,2,8,3,3,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
57,Omar Alderete,PAR,DF,Sunderland,Premier League,0.0,1996.0,6.4,11,4,0,0,0,0,77.8,0,0,0,0,10,21,37,0,6,5,0,9,2,6,6,2025-2026,stats_defense,2025-10-18 04:36:53.576323
58,Alexandre Alemão,BRA,FW,Rayo Vallecano,La Liga,0.0,1998.0,3.1,1,0,0,0,0,0,20.0,0,0,0,0,0,1,3,0,1,0,0,5,4,1,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
59,Carles Aleñá,ESP,"MF,FW",Alavés,La Liga,0.0,1998.0,5.7,9,6,0,0,0,0,66.7,0,0,0,3,2,11,8,1,3,6,0,6,2,4,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
60,Trent Alexander-Arnold,ENG,DF,Real Madrid,La Liga,0.0,1998.0,1.7,2,1,0,0,0,0,50.0,0,0,0,1,3,5,1,0,1,1,0,4,2,2,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
61,Alfon,ESP,"FW,DF",Sevilla,La Liga,0.0,1999.0,1.8,1,0,0,0,0,0,50.0,0,0,0,0,1,2,5,0,0,0,1,2,1,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
62,Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,0.0,2004.0,1.7,1,0,0,0,0,0,0.0,0,0,0,2,0,1,0,0,0,1,0,0,0,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
63,Alisson,BRA,GK,Liverpool,Premier League,0.0,1992.0,6.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
64,Jim Allevinah,GAB,"FW,DF",Angers,Ligue 1,0.0,1995.0,0.9,1,0,0,0,0,0,100.0,0,0,0,1,0,1,1,0,1,0,0,1,0,2,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
65,Thiago Almada,ARG,"MF,FW",Atlético Madrid,La Liga,0.0,2001.0,2.3,3,2,0,0,0,0,33.3,0,0,0,0,1,4,0,0,0,3,0,3,2,1,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
66,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,0.0,2000.0,1.0,1,0,0,0,0,0,50.0,0,0,0,1,1,2,0,0,0,1,0,2,1,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
67,Pontus Almqvist,SWE,"DF,MF",Parma,Serie A,0.0,1999.0,3.2,7,5,0,0,0,0,33.3,0,0,0,5,2,9,1,0,4,3,0,6,4,5,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
68,Marcos Alonso,ESP,DF,Celta Vigo,La Liga,0.0,1990.0,4.3,9,4,0,0,0,0,60.0,0,0,0,1,5,14,32,0,4,2,3,5,2,2,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
69,Adrià Altimira,ESP,DF,Villarreal,La Liga,0.0,2001.0,0.1,1,1,0,0,0,0,100.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
70,Sergi Altimira,ESP,MF,Betis,La Liga,0.0,2001.0,5.0,22,11,0,0,0,0,64.3,0,0,0,2,11,33,8,0,8,13,1,14,5,5,3,2025-2026,stats_defense,2025-10-18 04:36:53.576323
71,Carlos Álvarez,ESP,MF,Levante,La Liga,0.0,2003.0,5.4,11,4,0,0,0,0,36.4,0,0,0,0,2,13,2,1,3,7,1,11,7,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
72,Hugo Álvarez,ESP,"FW,DF",Celta Vigo,La Liga,0.0,2003.0,3.4,7,5,0,0,0,0,66.7,0,0,0,3,3,10,5,0,3,2,2,3,1,3,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
73,Julián Álvarez,ARG,FW,Atlético Madrid,La Liga,0.0,2000.0,6.9,3,1,0,0,0,0,20.0,0,0,0,5,2,5,1,0,0,3,0,5,4,5,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
74,Skelly Alvero,FRA,DF,Werder Bremen,Bundesliga,0.0,2002.0,0.4,0,0,0,0,0,0,0.0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
75,Giuseppe Ambrosino,ITA,FW,Napoli,Serie A,0.0,2003.0,0.2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
76,Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,0.0,2003.0,0.2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
77,Kelvin Amian,FRA,DF,Nantes,Ligue 1,0.0,1998.0,7.0,9,6,0,0,0,0,75.0,0,0,0,5,3,12,35,0,6,3,0,8,2,10,5,2025-2026,stats_defense,2025-10-18 04:36:53.576323
78,Michael Amir Murillo,PAN,"DF,MF",Marseille,Ligue 1,0.0,1996.0,5.1,8,6,0,0,0,0,50.0,0,0,0,6,0,8,13,0,3,4,1,4,2,8,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
79,Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,0.0,1996.0,5.5,9,4,0,0,0,0,50.0,0,0,0,8,6,15,4,0,3,4,2,8,4,9,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
80,Samuel Amo-Ameyaw,ENG,"DF,FW",Strasbourg,Ligue 1,0.0,2006.0,2.3,6,2,0,0,0,0,50.0,0,0,0,3,1,7,0,0,2,2,2,6,3,3,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
81,Mathis Amougou,FRA,MF,Strasbourg,Ligue 1,0.0,2006.0,1.5,4,3,0,0,0,0,50.0,0,0,0,3,1,5,0,0,0,3,1,2,1,4,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
82,Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,0.0,2000.0,4.3,12,7,0,0,0,0,77.8,0,0,0,4,3,15,5,1,7,5,0,9,2,5,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
83,Ethan Ampadu,WAL,MF,Leeds United,Premier League,0.0,2000.0,4.9,12,5,0,0,0,0,83.3,0,0,0,1,6,18,13,1,5,3,4,6,1,2,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
84,Sofyan Amrabat,MAR,MF,Betis,La Liga,0.0,1996.0,2.2,5,1,0,0,0,0,50.0,0,0,0,3,1,6,2,0,2,2,1,6,3,4,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
85,Joachim Andersen,DEN,DF,Fulham,Premier League,0.0,1996.0,7.0,15,11,0,0,0,0,69.2,0,0,0,1,8,23,56,0,11,3,1,13,4,3,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
86,Elliot Anderson,ENG,MF,Nott'ham Forest,Premier League,0.0,2002.0,7.0,21,12,0,0,0,0,44.4,0,0,0,9,5,26,8,0,8,6,7,18,10,10,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
87,André,BRA,MF,Wolves,Premier League,0.0,2001.0,4.9,14,6,0,0,0,0,46.7,0,0,0,4,5,19,10,2,7,4,3,15,8,6,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
88,Benjamin André,FRA,MF,Lille,Ligue 1,0.0,1990.0,5.0,9,5,0,0,0,0,50.0,0,0,0,6,7,16,9,0,5,4,0,8,4,8,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
89,Robert Andrich,GER,MF,Leverkusen,Bundesliga,0.0,1994.0,3.4,8,6,0,0,0,0,75.0,0,0,0,1,5,13,4,0,4,4,0,4,1,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
90,Miguel Ángel Rubio,ESP,DF,Espanyol,La Liga,0.0,1998.0,1.4,0,0,0,0,0,0,0.0,0,0,0,1,0,0,10,0,0,0,0,0,0,5,4,2025-2026,stats_defense,2025-10-18 04:36:53.576323
91,Angeliño,ESP,"DF,MF",Roma,Serie A,0.0,1997.0,4.3,8,6,0,0,0,0,50.0,0,0,0,4,2,10,6,0,5,2,1,10,5,4,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
92,Samuele Angori,ITA,DF,Pisa,Serie A,0.0,2003.0,3.1,10,6,0,0,0,0,60.0,0,0,0,0,3,13,10,0,3,7,0,10,4,1,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
93,Faustino Anjorin,ENG,"MF,FW",Torino,Serie A,0.0,2001.0,0.3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
94,Ilyas Ansah,GER,"MF,FW",Union Berlin,Bundesliga,0.0,2004.0,4.5,3,2,0,0,0,0,33.3,0,0,0,2,1,4,4,0,2,0,1,3,2,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
95,Aaron Anselmino,ARG,DF,Dortmund,Bundesliga,0.0,2005.0,0.8,2,2,0,0,0,0,100.0,0,0,0,0,0,2,5,1,2,0,0,2,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
96,Jaidon Anthony,ENG,"MF,FW",Burnley,Premier League,0.0,1999.0,6.5,12,7,0,0,0,0,66.7,0,0,0,9,6,18,5,1,1,9,2,9,3,12,3,2025-2026,stats_defense,2025-10-18 04:36:53.576323
97,Waldemar Anton,GER,DF,Dortmund,Bundesliga,0.0,1996.0,6.0,8,1,0,0,0,0,62.5,0,0,0,2,4,12,33,1,4,3,1,8,3,4,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
98,Antoniu,ESP,FW,Espanyol,La Liga,0.0,2002.0,0.2,2,1,0,0,0,0,100.0,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
99,Antony,BRA,FW,Betis,La Liga,0.0,2000.0,3.6,6,5,0,0,0,0,42.9,0,0,0,2,4,10,5,0,4,2,0,7,4,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
100,Youssef El-Arabi,MAR,"FW,MF",Nantes,Ligue 1,0.0,1987.0,0.3,1,1,0,0,0,0,0.0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
101,Mauro Arambarri,URU,MF,Getafe,La Liga,0.0,1995.0,7.8,18,12,0,0,0,0,31.3,0,0,0,9,3,21,10,0,4,12,2,16,11,10,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
102,Jon Aramburu,VEN,DF,Real Sociedad,La Liga,0.0,2002.0,6.2,21,16,0,0,0,0,51.6,0,0,0,1,6,27,16,1,15,6,0,31,15,4,3,2025-2026,stats_defense,2025-10-18 04:36:53.576323
103,Ronald Araújo,URU,DF,Barcelona,La Liga,0.0,1999.0,4.4,5,4,0,0,0,0,100.0,0,0,0,2,5,10,18,0,2,3,0,3,0,4,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
104,Carlens Arcus,HAI,DF,Angers,Ligue 1,0.0,1996.0,6.9,14,11,0,0,0,0,61.5,0,0,0,10,8,22,21,1,8,6,0,13,5,10,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
105,Alphonse Areola,FRA,GK,West Ham,Premier League,0.0,1993.0,3.0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
106,Jesús Areso,ESP,DF,Athletic Club,La Liga,0.0,1999.0,6.5,10,8,0,0,0,0,66.7,0,0,0,7,4,14,12,0,2,5,3,12,4,10,3,2025-2026,stats_defense,2025-10-18 04:36:53.576323
107,Jhon Arias,COL,FW,Wolves,Premier League,0.0,1997.0,4.0,19,11,0,0,0,0,64.3,0,0,0,5,3,22,6,0,8,8,3,14,5,5,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
108,Harrison Armstrong,ENG,FW,Everton,Premier League,0.0,2007.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
109,Hákon Arnar Haraldsson,ISL,"MF,FW",Lille,Ligue 1,0.0,2003.0,5.3,8,3,0,0,0,0,44.4,0,0,0,5,1,9,1,0,2,3,3,9,5,5,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
110,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,0.0,1994.0,6.0,7,7,0,0,0,0,40.0,0,0,0,0,10,17,17,1,6,1,0,10,6,5,5,2025-2026,stats_defense,2025-10-18 04:36:53.576323
111,Tolu Arokodare,NGA,FW,Wolves,Premier League,0.0,2000.0,1.8,1,1,0,0,0,0,0.0,0,0,0,0,1,2,6,0,0,1,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
112,Kervin Arriaga,HON,MF,Levante,La Liga,0.0,1998.0,2.2,5,3,0,0,0,0,50.0,0,0,0,1,2,7,5,0,3,2,0,2,1,2,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
113,Arthur,BRA,DF,Leverkusen,Bundesliga,0.0,2003.0,1.0,4,4,0,0,0,0,50.0,0,0,0,0,0,4,0,0,3,1,0,4,2,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
114,Takuma Asano,JPN,FW,Mallorca,La Liga,0.0,1994.0,2.8,1,0,0,0,0,0,50.0,0,0,0,1,0,1,1,0,0,0,1,2,1,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
115,Raúl Asencio,ESP,DF,Real Madrid,La Liga,0.0,2003.0,2.8,3,2,0,0,0,0,66.7,0,0,0,1,1,4,9,0,2,1,0,3,1,4,3,2025-2026,stats_defense,2025-10-18 04:36:53.576323
