rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,passes_attempted,passes_live,passes_dead,passes_free_kick,passes_through_ball,passes_switched,passes_crosses,passes_throw_in,passes_corner_kick,passes_in,passes_out,passes_straight,passes_completed,passes_offsides,passes_blocks,season,table_type,processed_at
44,Junior Ajayi,CIV,FW,Hellas Verona,Serie A,0.0,2004.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
45,Kristoffer Ajer,NOR,DF,Brentford,Premier League,0.0,1998.0,1.3,50,48,1,0,0,0,0,1,0,0,0,0,43,1,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
46,Ludovic Ajorque,FRA,FW,Brest,Ligue 1,0.0,1994.0,6.9,191,186,5,1,1,4,1,0,0,0,0,0,129,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
47,Manuel Akanji,SUI,DF,Inter,Serie A,0.0,1995.0,4.0,300,280,19,9,0,3,1,10,0,0,0,0,271,1,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
48,Nathan Aké,NED,DF,Manchester City,Premier League,0.0,1995.0,1.3,61,51,10,4,0,1,2,5,0,0,0,0,52,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
49,Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,0.0,2004.0,1.5,48,41,5,2,0,0,7,0,3,2,0,0,35,2,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
50,Ebenezer Akinsanmiro,NGA,MF,Pisa,Serie A,0.0,2004.0,4.3,123,115,7,2,1,2,2,0,0,0,0,0,110,1,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
51,Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,0.0,2002.0,6.0,292,277,15,3,2,2,18,6,6,1,4,0,228,0,6,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
52,Clément Akpa,CIV,DF,Auxerre,Ligue 1,0.0,2001.0,5.0,283,252,30,20,0,4,6,3,2,0,2,0,235,1,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
53,Jean-Daniel Akpa-Akpro,CIV,MF,Hellas Verona,Serie A,0.0,1992.0,2.2,45,44,1,1,0,0,0,0,0,0,0,0,31,0,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
54,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,0.0,1995.0,0.3,9,8,1,0,0,0,0,0,0,0,0,0,5,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
55,David Alaba,AUT,DF,Real Madrid,La Liga,0.0,1992.0,0.1,18,16,2,1,1,0,0,1,0,0,0,0,16,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
56,Carlos Alcaraz,ARG,"MF,FW",Everton,Premier League,0.0,2002.0,1.8,60,56,3,0,1,0,2,0,1,0,0,0,46,1,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
57,Omar Alderete,PAR,DF,Sunderland,Premier League,0.0,1996.0,6.4,340,334,6,5,1,4,4,1,0,0,0,0,288,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
58,Alexandre Alemão,BRA,FW,Rayo Vallecano,La Liga,0.0,1998.0,3.1,45,41,3,0,0,0,0,0,0,0,0,0,28,1,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
59,Carles Aleñá,ESP,"MF,FW",Alavés,La Liga,0.0,1998.0,5.7,288,252,36,15,0,2,28,1,20,5,5,0,231,0,5,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
60,Trent Alexander-Arnold,ENG,DF,Real Madrid,La Liga,0.0,1998.0,1.7,141,120,19,1,0,1,10,16,2,1,1,0,111,2,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
61,Alfon,ESP,"FW,DF",Sevilla,La Liga,0.0,1999.0,1.8,40,35,5,0,0,0,2,5,0,0,0,0,31,0,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
62,Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,0.0,2004.0,1.7,40,38,2,0,1,0,6,0,0,0,0,0,31,0,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
